,coeficiente,std_err,z,p_valor,ic_inf_95,ic_sup_95,relativity
const,7.386337129727709,0.11135007705556513,66.33436927072651,0.0,7.168094989023041,7.604579270432376,1613.784191798234
age,0.02863793770900672,0.0013412756060947918,21.35127007370832,3.7948438328431583e-101,0.026009085827718798,0.03126678959029464,1.029051946113081
bmi,0.014123669472645388,0.0032238220394068973,4.381032606639724,1.1811819166099676e-05,0.007805094382841403,0.020442244562449374,1.0142238797153207
children,0.0841722199557772,0.015533709749208289,5.418681133788227,6.004029039803127e-08,0.05372670830103024,0.11461773161052416,1.0878162213391265
smoker_yes,1.5003301722805875,0.04657194266406087,32.2153229274324,1.0769205754739987e-227,1.4090508419689638,1.5916095025922112,4.4831690441490215
sex_male,-0.057077790883493164,0.03753065470066018,-1.5208312068824406,0.1283022009542995,-0.130636522412996,0.01648094064600967,0.9445205914173193
region_northwest,-0.05787437835964761,0.05368730117879562,-1.0779900849720068,0.28103818092722044,-0.1630995550972418,0.04735079837794659,0.9437684977371996
region_southeast,-0.14163713322585247,0.05395968803099409,-2.62486938665207,0.008668221191812391,-0.2473961783836179,-0.03587808806808704,0.867936144540188
region_southwest,-0.1454820390817624,0.05387411027978278,-2.7004072703240007,0.006925463996589483,-0.25107335492927574,-0.039890723234249054,0.864605419041735
